userid,label
1575273338791919618,control
1575089210528251904,control
1574758880005050373,control
1573769707932483584,control
1573750123766718468,control
1573739101886496769,control
1573047996564086784,control
1572105021059219457,control
1571676604895760384,control
1571640630366846978,control
1570831843808759811,control
1570677516834070528,control
1570618554894135297,control
1570276497633714177,control
1569531385752473600,control
1569524140411097089,control
1569452336942301184,control
1569438081605947392,control
1569347438905008135,control
1568806635061055490,control
1568413921144438785,control
1568254154212278274,control
1566638202454253570,control
1566241271211069440,control
1566208622882955268,control
1566199025447075843,control
1565087954200043522,control
1564992678311313411,control
1564686145442684931,control
1564599931163365378,control
1564087913054437377,control
1563253171056570368,control
1563216384481722372,control
1563153786138333187,control
1562990675519750144,control
1562584209947906049,control
1562507695575683072,control
1562241795919998976,control
1561135403188604928,control
1560987395096551424,control
1559095513902813185,control
1558260744881422337,control
1557835462797971457,control
1556744774857662466,control
1556341657708236800,control
1556305436759900160,control
1555631611370213380,control
1555339178614968326,control
1554157502295678976,control
1554095504379858944,control
1553915021612257286,control
1553563160036212737,control
1552695105320095744,control
1552685107743432704,control
1552427099457171456,control
1552383226714398722,control
1551295489294962689,control
1551103344151654401,control
1550541561477402626,control
1550291403313389571,control
1549434091359150080,control
1549071497590865921,control
1548999535233355778,control
1548755910356570113,control
1546803041705361408,control
1546515920377577475,control
1545859766374866944,control
1545541442290044929,control
1545141111227908097,control
1544272291491561478,control
1543996971765370880,control
1543599206409052161,control
1542800419914670080,control
1542429970701492225,control
1542216466010890242,control
1541435408432697345,control
1541114708803084288,control
1540992200325992448,control
1540982249809743872,control
1540400812622503938,control
1539801566554853376,control
1539699754665385989,control
1539506715317575681,control
1539351169293860866,control
1538210946568577024,control
1537525576222777344,control
1537521257171890178,control
1537119824597377029,control
1536720359818502144,control
1536445529328074752,control
1535994943998771200,control
1535897225422774273,control
1535773491320213504,control
1535566947361988613,control
1535508141387005953,control
1533961872780644352,control
1533961126890700800,control
1533952926040961030,control
1533622844076265472,control
1533289938208292864,control
1533280111578992640,control
1531895034097934336,control
1531785574876692486,control
1530886102046875650,control
1530751869860974592,control
1530205403673264128,control
1529530410744614912,control
1529420313468907521,control
1529250638609014784,control
1528368670883434499,control
1527406114316369920,control
1527343415691603968,control
1525955924384354304,control
1523345051363033095,control
1522877654688583681,control
1522242604183826433,control
1521366159861424129,control
1521184005571465219,control
1520694963150929921,control
1519693920116125696,control
1519497804485476355,control
1519448924750327809,control
1519095691259359233,control
1518967643151216641,control
1518766067383996417,control
1518749569663725569,control
1518747974360354816,control
1517959823647776768,control
1517925464890880001,control
1517918055682256896,control
1517875511019683841,control
1517491569892413440,control
1517172817002962944,control
1517056316052758528,control
1516884561002569728,control
1516175382667575300,control
1515401963025969155,control
1514614080174116874,control
1514592265074880518,control
1514367977101180940,control
1514080985272528896,control
1513314250932039684,control
1513069706915196929,control
1511748876386316288,control
1510194601012826112,control
1509283196751515655,control
1509214972848525312,control
1508746615187808262,control
1508263891738017792,control
1507124701239332878,control
1506718128155279360,control
1506321415116517378,control
1504412649249026052,control
1503719361021980678,control
1503543005608878087,control
1502010929097150464,control
1501829435972009984,control
1500299039010537478,control
1499146373995896833,control
1498898891583856640,control
1498122346259005445,control
1497897021495255041,control
1497632901483147270,control
1497614651571515393,control
1497265375704076289,control
1497059518450126854,control
1497041504757448705,control
1496806616057925640,control
1496321178193231872,control
1496233633211895808,control
1496180465476292613,control
1495498626361180166,control
1495337274216796160,control
1494365885250813953,control
1493645658300977152,control
1493615948808527873,control
1492255015569920005,control
1492194648244498432,control
1492107436077228034,control
1491865031331491841,control
1491036545222119428,control
1490858457238577156,control
1490322500290547712,control
1490156248251125763,control
1489423009660157957,control
1489237643049123841,control
1489173640847544321,control
1488942600287621120,control
1488545618599493637,control
1488339163606921217,control
1488326860958175232,control
1488321289655885826,control
1488247377366560768,control
1487828548245233669,control
1487716410243567617,control
1486978547344457728,control
1486643967672393729,control
1486406428114010121,control
1486010315250745346,control
1485917230835634179,control
1485034090654957569,control
1484993374251892737,control
1484963093750898702,control
1484383788742414338,control
1484041138625396736,control
1483160105428398089,control
1482743310523510785,control
1481318993805860871,control
1480594246428241925,control
1480206714284687373,control
1478907837694754820,control
1478886914711339008,control
1477377736314343433,control
1476378855472615431,control
1475502072795570183,control
1475168021203361799,control
1471967616709193730,control
1471347648506511361,control
1470175448793600000,control
1468695447862718473,control
1468646544727584769,control
1468466322204168192,control
1468297898890833934,control
1468055200145436675,control
1467878966438481921,control
1467745909031280643,control
1467732884865835012,control
1467267104932044803,control
1467200901026775042,control
1467005084504494081,control
1466991997260992512,control
1466736875285381134,control
1466558114736574468,control
1466552359581069312,control
1466359467700674568,control
1466356334341726214,control
1466292766405799939,control
1465840491052814342,control
1465825688666222599,control
1465763803107401730,control
1465542757796220931,control
1465417489068826629,control
1465364489340076049,control
1465183577981820930,control
1465117243952480258,control
1465026977056923658,control
1464960308599042059,control
1464906511193452545,control
1464091170867486721,control
1464007255959949320,control
1463944469305344004,control
1463699081436540947,control
1463595106372657154,control
1463488913226416130,control
1463451991355498503,control
1463250561910771716,control
1463212790030741506,control
1463181445317337091,control
1462846875330039814,control
1462611179814141956,control
1462196969095446530,control
1461984524657565698,control
1461889947187752962,control
1461853009940340740,control
1461721340038172673,control
1461474584927117312,control
1461429640686280706,control
1461323102911184906,control
1460777206393802755,control
1460742524348379137,control
1460285308789039115,control
1460144125546840066,control
1460001445709766662,control
1459921083214221314,control
1459689445117075463,control
1459596668647534592,control
1459020238226403340,control
1458856391439966209,control
1458189977033056265,control
1458182122427006976,control
1458063735436632073,control
1457994257894043660,control
1457674018769801220,control
1457662545829957632,control
1457446879323729925,control
1457386586111348740,control
1457039375469056001,control
1457032215712317454,control
1456924086316281856,control
1456515536678948884,control
1453908058002927626,control
1450872514771574794,control
1450720875636879361,control
1449718935067271174,control
1448264296278994944,control
1447234500728139780,control
1447128221485604872,control
1445582871234711559,control
1445102564752695300,control
1444409828454158337,control
1443782861920821251,control
1442734582911045632,control
1441635649170247683,control
1439921724712267781,control
1439638914017464325,control
1438828078252310529,control
1438793440876273666,control
1437590841032314880,control
1435867069765931014,control
1435496666514083846,control
1435167365579350020,control
1434928520216547329,control
1434838237550370820,control
1433719819682078724,control
1433457911280373769,control
1433320293637005313,control
1433250198654963712,control
1432083542926843912,control
1430319317401415688,control
1429117913995350022,control
1428140337088786434,control
1427775724417654786,control
1427685625067622406,control
1427502429910839300,control
1425854109882650627,control
1424562218230681605,control
1424203964468322307,control
1423651208661594114,control
1423395946684104707,control
1423240137396264965,control
1421789470538575874,control
1420806670486282246,control
1419578324481986564,control
1419503739262705672,control
1419448657024331781,control
1417315965637902336,control
1416823554713309190,control
1416490728700657664,control
1416446706368098307,control
1415022316128542767,control
1414851591883173888,control
1412599702932103170,control
1412389663365636100,control
1412242913220833281,control
1410663448606920707,control
1410394551378919424,control
1409633130206711809,control
1408740339360403458,control
1407534024298418177,control
1407110098800021505,control
1407000059204362240,control
1405590385674629126,control
1405520257364549633,control
1403471610007392263,control
1402924282783617028,control
1402707528107102215,control
1402660899404517381,control
1402581575716507656,control
1400362761536872449,control
1400158951879159812,control
1400128736062738432,control
1399534171618435072,control
1397224250155601928,control
1396135965891178505,control
1395697063917236225,control
1395320838912573441,control
1395067009478574087,control
1394309270460579840,control
1394201375462940673,control
1393715848041406466,control
1393539501943885824,control
1391870165315379208,control
1391843737979035650,control
1389587489132777498,control
1389011645289091076,control
1387474791876157446,control
1387216688580530179,control
1386475442052472833,control
1386053613663961093,control
1385574967639740419,control
1384237357323280390,control
1384073614312415232,control
1383887839524311045,control
1382654690395967490,control
1382487659352879104,control
1381292205478928389,control
1380670743323807750,control
1379539731403395083,control
1379302187466170369,control
1379234598203371520,control
1378339757239848960,control
1377803516484329472,control
1375603466110959616,control
1375212073794277379,control
1374480919944335366,control
1373838346657660929,control
1372182352332488707,control
1371119053520134147,control
1370897181343948800,control
1370834707009712139,control
1370559248816607233,control
1370327373762138118,control
1368763031681961984,control
1368313559655079936,control
1367586396303732736,control
1366821899007852544,control
1366725886049976322,control
1366279096385351680,control
1365723056493256709,control
1365132491451949057,control
1365128990290247681,control
1364950686631424001,control
1362786014142623751,control
1359870968123039753,control
1359119017601032194,control
1358989376219471873,control
1358766362257195011,control
1358282189893378050,control
1358263570404900864,control
1356209557681303552,control
1355993028029198337,control
1355766758804762624,control
1355726789486628869,control
1354842602416140289,control
1354839281601310720,control
1354275260149993474,control
1352281965920186368,control
1352215343914229761,control
1351653758372077579,control
1351442845668933632,control
1349040198546583552,control
1348758675955990531,control
1347971880901373959,control
1346855763445211139,control
1346055869289607170,control
1345215447298400257,control
1344077196504276993,control
1344045630843473920,control
1343817588191576064,control
1341838659050496001,control
1341513365424918528,control
1338534839096668162,control
1338294772814000129,control
1337858745880154113,control
1336441496099295233,control
1335629556976414721,control
1334154554196287490,control
1333671298627756032,control
1333593004070801409,control
1331990611533180929,control
1331776742881701888,control
1331461764412706816,control
1331305294501122052,control
1330998582472826880,control
1329795166614343680,control
1329554700677632007,control
1329170421900599298,control
1328427910701723648,control
1328336323078463489,control
1328312690884939777,control
1328004526742368257,control
1327728254476759042,control
1327068651699249152,control
1326639462214930432,control
1325075792683012098,control
1323544443417481216,control
1321534458978312193,control
1321385031881904128,control
1320209030795624448,control
1319813369516490753,control
1317658218336710663,control
1317111845627494400,control
1316366986973151232,control
1315725116618280970,control
1314274860839780352,control
1313610661600124929,control
1313065537606496257,control
1311310017589583872,control
1310903975621820423,control
1309785256078213123,control
1309540056324083712,control
1308650873673986048,control
1308386634463879168,control
1306883900342444033,control
1306280120722829315,control
1304840016372412418,control
1303193537463214080,control
1301424969843343361,control
1300993532128264192,control
1299914781424525312,control
1299172665358508032,control
1299013826243895296,control
1298679046692392963,control
1298001388371247104,control
1297967854919319552,control
1295887203567128576,control
1295729198288580609,control
1295204327070543874,control
1294756234374111236,control
1294048036503658496,control
1293163656700665858,control
1292863282165026817,control
1292582804644073472,control
1292561798244323331,control
1292401964442169344,control
1291937689734807553,control
1291700391365812227,control
1291521699566026754,control
1291121056221143040,control
1289202684600492032,control
1288986585766264834,control
1288954044090900483,control
1287675732697718785,control
1287289471185104898,control
1287079733835059200,control
1283402514730287106,control
1282901676077256704,control
1282706376700067840,control
1279924977979064320,control
1279450543648387073,control
1277002976545181697,control
1276285109591666690,control
1275502794796130304,control
1274937838723837952,control
1274870982700916736,control
1273924376522625024,control
1272558125879398400,control
1271596581524037632,control
1271266142905159681,control
1270927322997121024,control
1269699176700526592,control
1268564408176951297,control
1267887257299619841,control
1267681306537852933,control
1267671791314644997,control
1267597284868370432,control
1267586300137406465,control
1267272354977255424,control
1266817126209220609,control
1266759280822272002,control
1266049169443209220,control
1265076214512918530,control
1264578874366705665,control
1263944483235864582,control
1263909917582340097,control
1263732768300769280,control
1263559058914672642,control
1263065820613300224,control
1262185544479657985,control
1261742266760265730,control
1261701648084172801,control
1260597835008966656,control
1260204534229598209,control
1260146700464816128,control
1257843176116797444,control
1257430655299977217,control
1257124430771150849,control
1256672506519392256,control
1256613293910786049,control
1256602229840248832,control
1256379442865283072,control
1255600551791902727,control
1254976939162570753,control
1254083739874996227,control
1253832626848309249,control
1253674234875801600,control
1253301719896920067,control
1253123691346636800,control
1252332226014072832,control
1251725898128252928,control
1251693020531101697,control
1251558520274722816,control
1251482993400651778,control
1250148578577862656,control
1250121939227676673,control
1248958994888249346,control
1248311611724574734,control
1248011977680658439,control
1247483134154866688,control
1246179039565447172,control
1245918176207986699,control
1245824129393135616,control
1245465891434872834,control
1243941174752227328,control
1243921082782035968,control
1243382153741627393,control
1243093852380151808,control
1242131373923676164,control
1241806016859099138,control
1240964458366861313,control
1240929544418267138,control
1240826585273507843,control
1239857382236344320,control
1239461824984203267,control
1237579607508910083,control
1236363618444328961,control
1235608350861045761,control
1235409787803877381,control
1234237881541103616,control
1234079735405305856,control
1233859982120148993,control
1232545303846359040,control
1232420487390777344,control
1231930773151866882,control
1231776670555758594,control
1230723232086364161,control
1230525524595892225,control
1230429238609707008,control
1228865408494718976,control
1228399663344164866,control
1227353939663872000,control
1222117444224987136,control
1221841517234610176,control
1221465380327247874,control
1220705600931291136,control
1220121868927037441,control
1219898716137644033,control
1219740047198556162,control
1216191028853714950,control
1216148624243118080,control
1213562152570589184,control
1213462580926148613,control
1213443916273348608,control
1211785260972662784,control
1209075507968520192,control
1207365975328350208,control
1206254677848809472,control
1205693063701680128,control
1204217053093056513,control
1203638309362241537,control
1202733780253003782,control
1202305175505047552,control
1200212477545533441,control
1199039267743424512,control
1198256657979064320,control
1197983394958848000,control
1194332595254956034,control
1191478071427321861,control
1190066133560373248,control
1187013906750939137,control
1186409739959373825,control
1186371230015901696,control
1186323702201360384,control
1185898632249331718,control
1183872586184306689,control
1183426378592591879,control
1182860338653478912,control
1182545393277722625,control
1182448832870662144,control
1182106531153809414,control
1181591902614884357,control
1180532229795143680,control
1179791869296939010,control
1179517863423594496,control
1179162118676975617,control
1176948782929448960,control
1174220643820290048,control
1171777979606863875,control
1171727709434593280,control
1170300414375452673,control
1168368584076255233,control
1168081780487917574,control
1166109632626155522,control
1163067880902184960,control
1162433619928977410,control
1161963728172134400,control
1161761895315099649,control
1161291069730054145,control
1160917064179179520,control
1159467495104897025,control
1159277734125875200,control
1155912863653007362,control
1155738029517967360,control
1154151476127834112,control
1152331612354416640,control
1152258263725092865,control
1151555190333554690,control
1149134791666630657,control
1146875844998176768,control
1145179005567557634,control
1144526888947408896,control
1143706094960857088,control
1141906357265850369,control
1141758865433866240,control
1141586274165374977,control
1140937746963451904,control
1140595122251476992,control
1140400819101036544,control
1139316597187911680,control
1138951360865546243,control
1138898276399439872,control
1135529964021960705,control
1135382267013017600,control
1134279421240721413,control
1134136739688304641,control
1131901705237520384,control
1131505380331118592,control
1131407185987162113,control
1131248979977658369,control
1130720208023199746,control
1128702807316619265,control
1128189670624505856,control
1127792216296939521,control
1125020173843361794,control
1124706112949948416,control
1121827025487106048,control
1121587298288787456,control
1121542719669723137,control
1120808107062460417,control
1120384400976486400,control
1117871383776722945,control
1116525960788996096,control
1114887932991688704,control
1112408470794448899,control
1111247505075908608,control
1110850972333543424,control
1108220867706867712,control
1105587584481280005,control
1104440651184246785,control
1094678689395167233,control
1091449725902045184,control
1090730950516973568,control
1090103922268741632,control
1088655677478879232,control
1088469073141346304,control
1087800043116085248,control
1084539894641381377,control
1081225265320218625,control
1080663288969682944,control
1080169742890139649,control
1080029304707153921,control
1079819631366496258,control
1079497513219039233,control
1079321780186218497,control
1078014369814986752,control
1077827965868740608,control
1077749115826647040,control
1075919809626497026,control
1075762090604933120,control
1075191575766953985,control
1073165506532835328,control
1070767857783451648,control
1070427062182260745,control
1069685255177715712,control
1069669254537072640,control
1068193649714970627,control
1064192332159991808,control
1063973025207336960,control
1060265247838298114,control
1059544467886297089,control
1058802806449192960,control
1055630843023187969,control
1055594197087125504,control
1055215438068703233,control
1054900277957013506,control
1048993478842044416,control
1048691159118303235,control
1047897315619627009,control
1046971040646275072,control
1042970274994552833,control
1042220606878621696,control
1040425094420594688,control
1039496131443605504,control
1039035826527776768,control
1038633072068050944,control
1030372961952264193,control
1028313113039446021,control
1027566483696746498,control
1025425042904104960,control
1025040059916066816,control
1022665802799960065,control
1022535560978751489,control
1019730482609770503,control
1019276686209282049,control
1018573857043697665,control
1015343465692004352,control
1014588697285709824,control
1014374399414333440,control
1013283154268913664,control
1011691802003410945,control
1009851238761066496,control
1008934844271865856,control
1006635971188854787,control
1005978760158568448,control
1004428542254505985,control
1004114168398610437,control
1003225772507762688,control
998637973800407040,control
996191402198536194,control
993612143932026881,control
990988449518948354,control
990586156277362689,control
989914355566284801,control
984074535006859265,control
981515528404484096,control
979455950418599936,control
978947769888116736,control
978738652388954113,control
978137730319290369,control
975223242897031169,control
974757352070148097,control
974715992877207552,control
971974702347538432,control
971425999400337411,control
970943007557148672,control
969564044171587584,control
964664015086645248,control
962481469779214336,control
962366980480217088,control
961700808206110720,control
960136803280879617,control
959186809514352640,control
959105138215579648,control
957484712146202624,control
957435030044889088,control
957387261905129472,control
955389643503165440,control
955326144106127360,control
954843328960516096,control
954182292116684801,control
953906137253818368,control
951217262081396736,control
950070888002703360,control
948904554455814147,control
948145476984913920,control
947745490275323904,control
947530102581202944,control
946391270162870272,control
945743775162183680,control
940568939066806272,control
939852487233765377,control
938962701480468480,control
938457074278846468,control
937365247547101186,control
936558031961194497,control
935942321756966912,control
934390216391122944,control
932636301953703936,control
932420162904395776,control
931269380893265920,control
927305014468665344,control
926617266891972613,control
925495386780979201,control
924703403716108288,control
923105593057005568,control
922979125798887424,control
922508508305686528,control
922471578146877440,control
921634019040567296,control
921442045121658884,control
920406144685953024,control
920236341945884672,control
919671737595260928,control
917727041893683200,control
917621685020270592,control
916441003740897280,control
914670640929689601,control
914181241372643329,control
914147373038874624,control
913517826710831104,control
912019706000928768,control
909530008586158080,control
908066734149701638,control
908018863106871296,control
906187949305466881,control
904598680916938752,control
899430649022566400,control
896504547862081536,control
895089045373558784,control
892193113795678212,control
891979463227047936,control
891736971953016836,control
882853104508698624,control
881918725108191232,control
877276571584933888,control
876797845277421568,control
875076687398154240,control
874339325772787715,control
872660596503838721,control
872579180034240513,control
871800071536472064,control
870747755932549120,control
860924513797545984,control
860567024346509312,control
857592145594679296,control
854198996788797440,control
854043442799939584,control
850108238985129984,control
849492260349673473,control
846480668800536577,control
845941153161789441,control
843957664593969153,control
841440229139595264,control
840475107982245888,control
840181115226800128,control
838833637395214337,control
838273893588742144,control
835526856065568769,control
834943261403975681,control
833718462539235328,control
833584970203590656,control
830540439824584705,control
830085468419215362,control
829843501508657153,control
829533982756835329,control
829520625249120257,control
826913607921176576,control
826138130705158148,control
823569815105368064,control
820441408200798208,control
820256513549864960,control
817457455479263234,control
814639793405657090,control
812443951772921856,control
809900390376505348,control
799901668586455040,control
797987199027294208,control
790278520274649088,control
788006795822428160,control
784140838712606722,control
780823628086554624,control
780556976690335745,control
780344231453921281,control
779017581025984512,control
778331417403154432,control
773320393448910848,control
771542193798471681,control
770964942132510720,control
767539299759845380,control
764310757408256000,control
763416189230022657,control
760559253107204096,control
760242320407232512,control
759836707558678528,control
757688808204795904,control
754614073942085632,control
754108043974107137,control
752133579090501632,control
751916646499966977,control
751435121983717380,control
751051302663315456,control
750990718764740609,control
748940110436204545,control
747716097827307520,control
746843644234108929,control
741123229327228932,control
737284737320943616,control
733670265457020928,control
732242378170486784,control
731534701354090497,control
727482909364506624,control
726753531579928576,control
725732045985599489,control
721420584412921857,control
721355401141305344,control
716335724971343872,control
714484967410155521,control
712428427471691776,control
711898557188579328,control
710742569165168640,control
709451320806088704,control
708391233350189056,control
703766927131480064,control
703300067692646400,control
701453227049365504,control
701446654327705601,control
4924525720,control
4889806979,control
4883810108,control
4877266271,control
4860850240,control
4822838596,control
4822608064,control
4782633867,control
4779301027,control
4770492735,control
4625873187,control
4594408640,control
4589971289,control
4555360399,control
4552716552,control
4474591517,control
4434884841,control
4388333367,control
4310844923,control
4241953829,control
4208164872,control
4133406015,control
4118105002,control
4076978967,control
4073055254,control
4013971811,control
3957668722,control
3941068095,control
3857207548,control
3816081411,control
3753300555,control
3747481340,control
3679113796,control
3677576053,control
3648233536,control
3600295817,control
3599394796,control
3587659753,control
3557321181,control
3458149639,control
3450606497,control
3439292716,control
3404761503,control
3403709128,control
3398232310,control
3396319600,control
3376299243,control
3360666850,control
3343545803,control
3342996700,control
3341082701,control
3335287925,control
3329512025,control
3301119999,control
3298923757,control
3275363946,control
3263053316,control
3254171369,control
3254029916,control
3245963855,control
3240528784,control
3240045072,control
3233748408,control
3233658547,control
3213569186,control
3187910371,control
3183331183,control
3148236565,control
3147499655,control
3146161372,control
3124541422,control
3102669979,control
3091492431,control
3068988402,control
3065703000,control
3058560676,control
3051931772,control
3044636849,control
3037871721,control
3029045745,control
3029016339,control
3028746896,control
3026850386,control
3023699491,control
2992996108,control
2984614877,control
2981362749,control
2974791869,control
2974491901,control
2968817907,control
2950032424,control
2940269824,control
2940133279,control
2938448523,control
2932928925,control
2922951463,control
2921350126,control
2916129782,control
2904484659,control
2899614507,control
2896653131,control
2855984209,control
2840327498,control
2815267909,control
2802102202,control
2797933305,control
2793444007,control
2753837402,control
2749273738,control
2743500739,control
2743114642,control
2739548102,control
2734454298,control
2723569963,control
2698192537,control
2674987160,control
2654885564,control
2646499802,control
2614183783,control
2613240630,control
2593550425,control
2572218094,control
2566494599,control
2561961174,control
2560897811,control
2555477018,control
2549840040,control
2549072773,control
2537346955,control
2532192163,control
2527477027,control
2505660932,control
2500405884,control
2491461430,control
2490962794,control
2487209460,control
2480275314,control
2451466921,control
2441556231,control
2433603501,control
2429881164,control
2421716616,control
2419643090,control
2416847472,control
2400609030,control
2392172353,control
2391175723,control
2390585580,control
2387347072,control
2384629090,control
2382060517,control
2376656297,control
2373626806,control
2371722012,control
2355686986,control
2355135834,control
2350398336,control
2340012515,control
2303422400,control
2285464956,control
2275473170,control
2271619982,control
2269613468,control
2266498758,control
2251933656,control
2239934850,control
2236301004,control
2232279144,control
2208820551,control
2208279734,control
2187942664,control
2186121859,control
2184927966,control
2182306589,control
2173065433,control
2171309705,control
2166579765,control
2162947538,control
2154312658,control
2151943404,control
1975325977,control
1908033949,control
1894511910,control
1869552794,control
1861185162,control
1737288530,control
1723716422,control
1722387030,control
1716883447,control
1709901096,control
1704674557,control
1679902524,control
1678411621,control
1673367374,control
1664688134,control
1658883696,control
1650579692,control
1648667467,control
1645774897,control
1629134840,control
1615013372,control
1611545137,control
1604991320,control
1597227337,control
1590317772,control
1588454342,control
1586888712,control
1582423597,control
1581594193,control
1570178448,control
1529304990,control
1528010018,control
1517458362,control
1495948981,control
1491725485,control
1491601507,control
1483201669,control
1482535734,control
1465792628,control
1461592928,control
1444788092,control
1431997802,control
1406082404,control
1400276670,control
1395916111,control
1384665373,control
1373607589,control
1373213456,control
1369365469,control
1361041772,control
1350117284,control
1347610795,control
1342946539,control
1330418834,control
1319027676,control
1301940242,control
1285972651,control
1274205013,control
1273183860,control
1247611212,control
1235943534,control
1221386994,control
1189653912,control
1172877984,control
1166092838,control
1160034378,control
1155112170,control
1135887607,control
1132494546,control
1132001378,control
1131625548,control
1115162988,control
1107589291,control
1076950525,control
1057781522,control
1048102104,control
1040334830,control
1023603487,control
1010077316,control
1009428648,control
991899631,control
966285272,control
962422063,control
952692932,control
933649292,control
929596886,control
928115515,control
927417722,control
916111392,control
893890950,control
892278998,control
878787890,control
871047152,control
868424972,control
867113972,control
864560556,control
858669606,control
848616090,control
842651498,control
823703906,control
811790466,control
810873571,control
789767216,control
784624417,control
772092120,control
769185097,control
767095274,control
766132800,control
762343098,control
761374956,control
747738415,control
716738379,control
709690728,control
637010584,control
636377320,control
634776156,control
630545001,control
616640306,control
608956241,control
606485144,control
605886794,control
604716918,control
603850430,control
594909890,control
594855528,control
593922760,control
589762227,control
586984498,control
582037316,control
575765869,control
575763669,control
574812797,control
574770505,control
573980963,control
573298983,control
572140349,control
571095828,control
564557079,control
564229112,control
557789697,control
555408367,control
551176900,control
547675651,control
528812692,control
521207545,control
518103693,control
515700663,control
515494000,control
513644456,control
511045587,control
498766319,control
497213392,control
484085224,control
483998706,control
481643846,control
479057509,control
471382568,control
467958961,control
464867175,control
460386531,control
460376715,control
458743449,control
455209641,control
438859728,control
437277036,control
425762075,control
422767435,control
422127811,control
421017131,control
415498583,control
415415021,control
411789002,control
410950520,control
408550021,control
405927505,control
405207758,control
395919696,control
394368117,control
393101479,control
392776718,control
391779562,control
390728726,control
383746964,control
382924139,control
382483085,control
381881544,control
380647351,control
380573157,control
376721494,control
374271085,control
374159225,control
373513103,control
372120243,control
370857802,control
367867169,control
366234845,control
362954004,control
361832802,control
359226321,control
358213190,control
351266323,control
350653005,control
348195138,control
344371008,control
339903048,control
338667650,control
338016247,control
325551388,control
325241584,control
319927976,control
313024520,control
312939393,control
310556463,control
310418930,control
310154591,control
308287934,control
308178197,control
304682641,control
304186407,control
303835461,control
303404949,control
303266047,control
301827739,control
299171642,control
293347415,control
286350408,control
285988622,control
285726303,control
277664360,control
276283251,control
274860607,control
269294103,control
266670642,control
263396874,control
263351469,control
262278495,control
258635308,control
255781485,control
253799316,control
251275894,control
250268114,control
250238175,control
247032614,control
245968162,control
242618658,control
242438687,control
241925182,control
239867145,control
237401697,control
236644262,control
235491971,control
234987494,control
231595177,control
231589207,control
229832975,control
229661679,control
227037573,control
226826668,control
226314582,control
225611226,control
223191566,control
218763048,control
216900193,control
214368578,control
213216185,control
212703397,control
209792563,control
203117980,control
200880433,control
197524501,control
196861970,control
194668293,control
194571033,control
190358134,control
190140820,control
189545820,control
187681907,control
184866260,control
182251299,control
180438037,control
178378713,control
176414763,control
176299038,control
176115478,control
175221739,control
172050705,control
171347793,control
168033387,control
165390464,control
